stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00663L,2026-08-17,114000,0,0,1686807,1800807
3019,2026-08-17,1469586,0,0,322800,1792386
2547,2026-08-17,1641042,0,0,-32000,1609042
2897,2026-08-17,1570000,0,0,18000,1588000
00935,2026-08-17,-708761,0,-132000,2401903,1561142
00985A,2026-08-17,-56000,0,0,1607275,1551275
00947,2026-08-17,476482,0,0,1017654,1494136
2464,2026-08-17,888584,0,580000,9523,1478107
009819,2026-08-17,-44899,0,0,1486768,1441869
2915,2026-08-17,1363851,0,0,59022,1422873
6214,2026-08-17,1005417,0,0,323901,1329318
1513,2026-08-17,1237315,0,0,84149,1321464
2103,2026-08-17,1302082,0,0,17705,1319787
2340,2026-08-17,1280509,0,0,-5246,1275263
009813,2026-08-17,-1,0,0,1251712,1251711
1727,2026-08-17,1225732,0,0,25124,1250856
5521,2026-08-17,1240660,0,0,3000,1243660
2905,2026-08-17,1231323,0,0,12000,1243323
1316,2026-08-17,1216000,0,0,14000,1230000
2104,2026-08-17,1198961,0,0,5000,1203961
00922,2026-08-17,68940,0,0,1101072,1170012
2537,2026-08-17,1167000,0,0,-3159,1163841
00900,2026-08-17,454005,0,0,673970,1127975
00408A,2026-08-17,0,0,0,1118105,1118105
5608,2026-08-17,922703,0,0,165000,1087703
009804,2026-08-17,441000,0,0,636167,1077167
2395,2026-08-17,1103782,0,-15500,-34330,1053952
2812,2026-08-17,1118108,0,-98000,26000,1046108
5607,2026-08-17,759565,0,0,283000,1042565
1314,2026-08-17,1032839,0,0,1000,1033839
2367,2026-08-17,1035579,0,0,-2112,1033467
2388,2026-08-17,650512,0,0,378307,1028819
6271,2026-08-17,952266,0,0,60433,1012699
1711,2026-08-17,1003034,0,0,8145,1011179
2489,2026-08-17,965922,0,-3000,16805,979727
4904,2026-08-17,2156405,0,-1199119,-22655,934631
00680L,2026-08-17,0,0,0,918614,918614
3543,2026-08-17,909640,0,0,6717,916357
1319,2026-08-17,741365,0,0,161687,903052
2520,2026-08-17,1218840,0,0,-339941,878899
3406,2026-08-17,422875,0,478000,-29116,871759
8422,2026-08-17,435000,0,413000,22000,870000
1229,2026-08-17,858918,0,0,9164,868082
1605,2026-08-17,812006,0,-344,51438,863100
4919,2026-08-17,405538,0,-1000,457684,862222
00954,2026-08-17,485000,0,0,373646,858646
2467,2026-08-17,797067,0,0,10031,807098
00650L,2026-08-17,123000,0,0,682779,805779
3008,2026-08-17,652342,0,46000,101186,799528
3035,2026-08-17,724730,0,0,65670,790400
3376,2026-08-17,512332,0,0,276977,789309
3016,2026-08-17,529589,0,0,231385,760974
00964,2026-08-17,22000,0,0,736516,758516
3024,2026-08-17,751900,0,0,2000,753900
1313,2026-08-17,740879,0,0,8279,749158
4977,2026-08-17,649436,0,0,77687,727123
2364,2026-08-17,719749,0,0,4618,724367
00635U,2026-08-17,-61485,0,0,785368,723883
00951,2026-08-17,157000,0,0,564050,721050
2316,2026-08-17,642491,0,0,70029,712520
3715,2026-08-17,707362,0,0,3505,710867
1904,2026-08-17,673342,0,0,28000,701342
2349,2026-08-17,693934,0,0,1000,694934
1216,2026-08-17,3896568,0,-3159000,-44160,693408
2204,2026-08-17,675375,0,0,5750,681125
2484,2026-08-17,678626,0,0,-1953,676673
2308,2026-08-17,1368396,0,-800703,107886,675579
2412,2026-08-17,-1486853,0,2113261,46000,672408
00987A,2026-08-17,339000,0,0,328511,667511
00633L,2026-08-17,12000,0,0,652488,664488
1723,2026-08-17,642762,0,0,18124,660886
6213,2026-08-17,658176,0,-1000,-3642,653534
1503,2026-08-17,636352,0,0,3127,639479
00965,2026-08-17,32000,0,-300000,903401,635401
5515,2026-08-17,627998,0,0,-20223,607775
2101,2026-08-17,603756,0,0,-3246,600510
2455,2026-08-17,716991,0,-179000,58911,596902
3026,2026-08-17,573862,0,-2000,22428,594290
00916,2026-08-17,8000,0,0,583746,591746
00830,2026-08-17,615078,0,0,-29893,585185
4306,2026-08-17,580782,0,0,4000,584782
6277,2026-08-17,569220,0,0,8000,577220
1536,2026-08-17,573051,0,0,2898,575949
1102,2026-08-17,52348,0,517924,112,570384
00910,2026-08-17,558036,0,0,5269,563305
00907,2026-08-17,101000,0,0,458837,559837
6141,2026-08-17,508100,0,0,24870,532970
3617,2026-08-17,544552,0,0,-11833,532719
00930,2026-08-17,261000,0,0,260061,521061
00898,2026-08-17,225000,0,0,292372,517372
00675L,2026-08-17,-8000,0,0,522803,514803
3673,2026-08-17,486637,0,0,27773,514410
00892,2026-08-17,176013,0,0,335567,511580
6191,2026-08-17,319962,0,195000,-4500,510462
3048,2026-08-17,513598,0,0,-3323,510275
2030,2026-08-17,472879,0,0,37000,509879
6269,2026-08-17,493236,0,0,14838,508074
6108,2026-08-17,461330,0,0,46000,507330
6901,2026-08-17,493016,0,0,8000,501016
6278,2026-08-17,1001941,0,-613000,110331,499272
6830,2026-08-17,479938,0,0,11605,491543
2031,2026-08-17,472350,0,0,5137,477487
00639,2026-08-17,33000,0,0,427178,460178
8261,2026-08-17,367900,0,0,87802,455702
9910,2026-08-17,476330,0,269000,-291013,454317
2636,2026-08-17,446408,0,0,1000,447408
2347,2026-08-17,-717973,0,1147000,16953,445980
2425,2026-08-17,444794,0,0,-1185,443609
4551,2026-08-17,230169,0,200000,4148,434317
2454,2026-08-17,1188504,0,-822252,66824,433076
3450,2026-08-17,359965,0,0,70055,430020
3504,2026-08-17,394129,0,0,32511,426640
6757,2026-08-17,418316,0,0,1000,419316
2420,2026-08-17,362150,0,0,53169,415319
00735,2026-08-17,644010,0,0,-230000,414010
1808,2026-08-17,404366,0,0,5000,409366
00915,2026-08-17,-61990,0,0,471302,409312
6206,2026-08-17,376158,0,0,27698,403856
1560,2026-08-17,390519,0,0,5804,396323
7780,2026-08-17,397350,0,0,-2953,394397
2614,2026-08-17,393317,0,0,1000,394317
00946,2026-08-17,-228000,0,0,613397,385397
2498,2026-08-17,361591,0,0,23297,384888
3030,2026-08-17,346583,0,-1000,25959,371542
00655L,2026-08-17,11000,0,0,352646,363646
2034,2026-08-17,360364,0,0,850,361214
00882,2026-08-17,90050,0,0,268789,358839
00905,2026-08-17,204457,0,0,147498,351955
2342,2026-08-17,346665,0,0,5144,351809
1795,2026-08-17,349178,0,0,227,349405
2404,2026-08-17,295265,0,21000,32409,348674
2539,2026-08-17,260330,0,0,86851,347181
1305,2026-08-17,392628,0,0,-51000,341628
2852,2026-08-17,340618,0,0,1000,341618
2546,2026-08-17,341973,0,0,-2000,339973
1434,2026-08-17,329527,0,0,9000,338527
1444,2026-08-17,329110,0,0,5000,334110
2206,2026-08-17,332406,0,0,1000,333406
2605,2026-08-17,12259,0,0,315939,328198
00983A,2026-08-17,-15000,0,0,338956,323956
3056,2026-08-17,312000,0,0,11000,323000
7788,2026-08-17,235285,0,0,86974,322259
2108,2026-08-17,317251,0,0,954,318205
2612,2026-08-17,305013,0,0,9000,314013
1907,2026-08-17,313765,0,0,0,313765
1789,2026-08-17,307569,0,0,3000,310569
6209,2026-08-17,313029,0,0,-3903,309126
6168,2026-08-17,300087,0,0,2000,302087
5469,2026-08-17,124594,0,174000,-2980,295614
1532,2026-08-17,287324,0,0,2496,289820
2010,2026-08-17,285000,0,0,3917,288917
2351,2026-08-17,287691,0,0,-3211,284480
009803,2026-08-17,166000,0,0,115093,281093
8213,2026-08-17,219100,0,0,61552,280652
00712,2026-08-17,-66235,0,0,342155,275920
00904,2026-08-17,86000,0,0,189111,275111
2478,2026-08-17,265475,0,0,7577,273052
00936,2026-08-17,40000,0,0,232609,272609
