stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00863B,2026-09-07,0,0,0,-9000,-9000
00864B,2026-09-07,-11000,0,0,-555000,-566000
00867B,2026-09-07,-1000,0,0,-34,-1034
00870B,2026-09-07,0,0,0,-1000,-1000
00877,2026-09-07,460000,0,0,781086,1241086
00884B,2026-09-07,0,0,0,-408,-408
00886,2026-09-07,0,0,0,-11562,-11562
00887,2026-09-07,-275000,0,0,-496558,-771558
00888,2026-09-07,5369580,0,0,9326940,14696520
00890B,2026-09-07,5000,0,0,6000,11000
00928,2026-09-07,17000,0,0,96958,113958
00931B,2026-09-07,20000,0,0,311687,331687
00933B,2026-09-07,51113,0,0,-1470803,-1419690
00937B,2026-09-07,-556568,0,0,-2807724,-3364292
00942B,2026-09-07,-3000,0,0,252273,249273
00948B,2026-09-07,-8000,0,0,-622087,-630087
00950B,2026-09-07,3000,0,0,-443990,-440990
00955,2026-09-07,737150,0,0,1215870,1953020
00957B,2026-09-07,-22000,0,0,-21601,-43601
00958B,2026-09-07,0,0,0,103821,103821
00959B,2026-09-07,-93750,0,0,-201478,-295228
00966B,2026-09-07,0,0,0,-53854,-53854
00967B,2026-09-07,0,0,0,-111065,-111065
00968B,2026-09-07,4000,0,0,-349153,-345153
00969B,2026-09-07,10000,0,0,97050,107050
00970B,2026-09-07,2000,0,0,-388017,-386017
009806,2026-09-07,0,0,0,-1596,-1596
009807,2026-09-07,0,0,0,-350,-350
00980B,2026-09-07,0,0,0,317724,317724
00980D,2026-09-07,-6000,0,0,-343380,-349380
00980T,2026-09-07,-1000,0,0,557,-443
009814,2026-09-07,-21000,0,0,-435940,-456940
009815,2026-09-07,-16000,0,0,197435,181435
00981B,2026-09-07,-6060000,0,0,-10506269,-16566269
00981D,2026-09-07,28000,0,0,-773850,-745850
009822,2026-09-07,0,0,0,315805,315805
009823,2026-09-07,-11900,0,0,-666567,-678467
009825,2026-09-07,1000,0,0,838393,839393
00982B,2026-09-07,0,0,0,-4429,-4429
00983B,2026-09-07,0,0,0,20192,20192
00984B,2026-09-07,5000,0,0,175689,180689
00985D,2026-09-07,-19000,0,0,-445584,-464584
00986B,2026-09-07,0,0,0,4949,4949
00986D,2026-09-07,-77000,0,0,179489,102489
