stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
4714,永捷,TPEx,做多,11.55,5,0.87,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線11.44 > 10日11.14 > 20日11.08 > 60日11.07，向上排列）；股價站上月線（收盤11.55 > 20日均線11.08）；MACD多頭（DIF=0.14 > MACD=0.07，且DIF>0）；回後買上漲（拉回低點10.6未跌破前段低點10.5的99%，收盤11.55 > 5日均線11.44）
2845,遠東銀,TWSE,做多,13.7,5,0.74,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|PULLBACK_REBOUND,四線多排（5日均線13.67 > 10日13.64 > 20日13.56 > 60日13.37，向上排列）；股價站上月線（收盤13.7 > 20日均線13.56）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.08，柱狀體0→0）；回後買上漲（拉回低點13.35未跌破前段低點12.9的99%，收盤13.7 > 5日均線13.67）
6811,宏�硌穈T,TPEx,做多,247.0,5,0.41,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線243.5 > 10日233.05 > 20日229.05 > 60日227.08，向上排列）；股價站上月線（收盤247 > 20日均線229.05）；MACD多頭（DIF=4.34 > MACD=1.35，且DIF>0）；回後買上漲（拉回低點219.5未跌破前段低點219的99%，收盤247 > 5日均線243.5）
1312,國喬,TWSE,做多,14.85,5,0.34,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|PULLBACK_REBOUND,四線多排（5日均線14.56 > 10日14.5 > 20日14.17 > 60日13.22，向上排列）；股價站上月線（收盤14.85 > 20日均線14.17）；KD黃金交叉且未過熱（K=45.7，D=38.9，K<80）；回後買上漲（拉回低點13.8未跌破前段低點13.8的99%，收盤14.85 > 5日均線14.56）
5880,合庫金,TWSE,做多,27.4,5,0.18,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND,四線多排（5日均線27.28 > 10日27.01 > 20日26.23 > 60日25.66，向上排列）；股價站上月線（收盤27.4 > 20日均線26.23）；MACD多頭（DIF=0.54 > MACD=0.42，且DIF>0）；回後買上漲（拉回低點26.2未跌破前段低點25.05的99%，收盤27.4 > 5日均線27.28）
3162,精確,TPEx,做多,73.4,5,-0.14,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|RS_STRONG,四線多排（5日均線71.74 > 10日71.39 > 20日70.44 > 60日70.28，向上排列）；股價站上月線（收盤73.4 > 20日均線70.44）；KD黃金交叉且未過熱（K=54.62，D=41.89，K<80）；MACD多頭（DIF=1.28 > MACD=1.06，且DIF>0）；RS轉強（相對大盤RS評分由60轉強至71，領先大盤）
3354,律勝,TPEx,做多,29.7,5,-2.62,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|RS_STRONG,四線多排（5日均線29.16 > 10日28.37 > 20日25.73 > 60日23.79，向上排列）；股價站上月線（收盤29.7 > 20日均線25.73）；KD黃金交叉且未過熱（K=76.58，D=76.52，K<80）；MACD多頭（DIF=1.99 > MACD=1.57，且DIF>0）；RS轉強（相對大盤RS評分由76轉強至79，領先大盤）
3105,穩懋,TPEx,做多,475.0,4,0.53,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH,四線多排（5日均線456.6 > 10日455 > 20日440.1 > 60日394.86，向上排列）；股價站上月線（收盤475 > 20日均線440.1）；KD黃金交叉且未過熱（K=59.59，D=53.61，K<80）；MACD多頭（DIF=19.92 > MACD=19.3，且DIF>0）
3532,台勝科,TWSE,做多,437.0,4,-0.68,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH,四線多排（5日均線424.6 > 10日415.7 > 20日398.85 > 60日382.62，向上排列）；股價站上月線（收盤437 > 20日均線398.85）；KD黃金交叉且未過熱（K=64.11，D=64.95，K<80）；MACD多頭（DIF=18.3 > MACD=14.92，且DIF>0）
2413,環科,TWSE,做多,52.1,4,-1.7,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH,四線多排（5日均線50.82 > 10日49.54 > 20日46.38 > 60日44.33，向上排列）；股價站上月線（收盤52.1 > 20日均線46.38）；KD黃金交叉且未過熱（K=73.89，D=73.43，K<80）；MACD多頭（DIF=2.15 > MACD=1.46，且DIF>0）
