stock_code,data_date,tier,holders,shares,pct
00408A,2026-08-14,4,302,4049379,2.51
00408A,2026-08-14,5,521,10259751,6.36
00408A,2026-08-14,6,321,8946897,5.55
00408A,2026-08-14,7,98,3642100,2.26
00408A,2026-08-14,8,244,12016000,7.45
00408A,2026-08-14,9,250,22016801,13.66
00408A,2026-08-14,10,86,14849000,9.21
00408A,2026-08-14,11,23,6902000,4.28
00408A,2026-08-14,12,14,7213000,4.47
00408A,2026-08-14,13,4,2914000,1.8
00408A,2026-08-14,14,6,5835000,3.62
00408A,2026-08-14,15,12,36912033,22.9
00408A,2026-08-14,16,0,0,0.0
00408A,2026-08-14,17,8549,161134000,100.0
00410A,2026-08-14,1,378,74902,0.05
00410A,2026-08-14,2,2874,7272144,5.14
00410A,2026-08-14,3,1052,9924117,7.02
00410A,2026-08-14,4,149,2072681,1.46
00410A,2026-08-14,5,336,6634000,4.69
00410A,2026-08-14,6,240,6937016,4.9
00410A,2026-08-14,7,51,1931250,1.36
00410A,2026-08-14,8,170,8453400,5.98
00410A,2026-08-14,9,206,18547000,13.12
00410A,2026-08-14,10,69,11387000,8.05
00410A,2026-08-14,11,19,5421000,3.83
00410A,2026-08-14,12,18,8785043,6.21
00410A,2026-08-14,13,1,732000,0.51
00410A,2026-08-14,14,4,4000000,2.82
00410A,2026-08-14,15,7,49188447,34.79
00410A,2026-08-14,16,0,0,0.0
00410A,2026-08-14,17,5574,141360000,100.0
0050,2026-08-14,1,1506020,435125437,1.94
0050,2026-08-14,2,1329017,3026952449,13.49
0050,2026-08-14,3,331522,2434695051,10.85
0050,2026-08-14,4,134172,1660035435,7.4
0050,2026-08-14,5,73097,1291439249,5.75
0050,2026-08-14,6,67681,1667252369,7.43
0050,2026-08-14,7,32433,1133707949,5.05
0050,2026-08-14,8,17901,808375888,3.6
0050,2026-08-14,9,29506,2024712929,9.02
0050,2026-08-14,10,9553,1282359839,5.71
0050,2026-08-14,11,2489,667945194,2.97
0050,2026-08-14,12,444,214604047,0.95
0050,2026-08-14,13,141,97104451,0.43
0050,2026-08-14,14,66,59975639,0.26
0050,2026-08-14,15,271,5621716074,25.06
0050,2026-08-14,16,1,2000,0.0
0050,2026-08-14,17,3534313,22426000000,100.0
0051,2026-08-14,1,7677,1484570,6.05
0051,2026-08-14,2,4427,8852370,36.13
0051,2026-08-14,3,475,3427796,13.99
0051,2026-08-14,4,147,1821823,7.43
0051,2026-08-14,5,74,1335725,5.45
0051,2026-08-14,6,43,1096802,4.47
0051,2026-08-14,7,20,701025,2.86
0051,2026-08-14,8,11,490864,2.0
0051,2026-08-14,9,14,884000,3.6
0051,2026-08-14,10,6,705000,2.87
0051,2026-08-14,11,2,579668,2.36
0051,2026-08-14,12,3,1565357,6.38
0051,2026-08-14,13,2,1555000,6.34
0051,2026-08-14,14,0,0,0.0
0051,2026-08-14,15,0,0,0.0
0051,2026-08-14,16,0,0,0.0
0051,2026-08-14,17,12901,24500000,100.0
0052,2026-08-14,1,130615,37432465,1.4
0052,2026-08-14,2,242711,520803903,19.51
0052,2026-08-14,3,48988,379275663,14.21
0052,2026-08-14,4,16402,209219955,7.83
0052,2026-08-14,5,8776,159920997,5.99
0052,2026-08-14,6,7894,197934006,7.41
0052,2026-08-14,7,3290,116190370,4.35
0052,2026-08-14,8,1933,89030675,3.33
0052,2026-08-14,9,2934,205985751,7.71
0052,2026-08-14,10,856,116949021,4.38
0052,2026-08-14,11,225,62971609,2.35
0052,2026-08-14,12,51,24873548,0.93
0052,2026-08-14,13,26,17716000,0.66
0052,2026-08-14,14,17,15175147,0.56
0052,2026-08-14,15,69,515520890,19.31
0052,2026-08-14,16,0,0,0.0
0052,2026-08-14,17,464787,2669000000,100.0
0053,2026-08-14,1,4894,569975,10.38
0053,2026-08-14,2,801,1501790,27.36
0053,2026-08-14,3,74,595108,10.84
0053,2026-08-14,4,14,180000,3.27
0053,2026-08-14,5,13,249000,4.53
0053,2026-08-14,6,6,160299,2.92
0053,2026-08-14,7,1,31000,0.56
0053,2026-08-14,8,4,193000,3.51
0053,2026-08-14,9,2,133000,2.42
0053,2026-08-14,10,2,314186,5.72
0053,2026-08-14,11,2,509642,9.28
0053,2026-08-14,12,0,0,0.0
0053,2026-08-14,13,0,0,0.0
0053,2026-08-14,14,0,0,0.0
0053,2026-08-14,15,1,1051000,19.15
0053,2026-08-14,16,0,0,0.0
0053,2026-08-14,17,5814,5488000,100.0
0055,2026-08-14,1,4923,1035263,1.2
0055,2026-08-14,2,6366,13309338,15.44
0055,2026-08-14,3,1073,8409994,9.76
0055,2026-08-14,4,286,3650662,4.23
0055,2026-08-14,5,181,3305072,3.83
0055,2026-08-14,6,137,3490968,4.05
0055,2026-08-14,7,55,1928627,2.23
0055,2026-08-14,8,33,1543336,1.79
0055,2026-08-14,9,53,3659098,4.24
0055,2026-08-14,10,25,3168706,3.67
0055,2026-08-14,11,13,3554000,4.12
0055,2026-08-14,12,8,3697832,4.29
0055,2026-08-14,13,4,2722000,3.15
0055,2026-08-14,14,0,0,0.0
0055,2026-08-14,15,7,32679104,37.93
0055,2026-08-14,16,0,0,0.0
0055,2026-08-14,17,13164,86154000,100.0
0056,2026-08-14,1,366901,105575781,0.73
0056,2026-08-14,2,775788,1808253645,12.66
0056,2026-08-14,3,223921,1730029759,12.11
0056,2026-08-14,4,95914,1211293144,8.48
0056,2026-08-14,5,56957,1031739095,7.22
0056,2026-08-14,6,54482,1372087309,9.6
0056,2026-08-14,7,26211,926710080,6.48
0056,2026-08-14,8,16025,738944321,5.17
0056,2026-08-14,9,26447,1861944512,13.03
0056,2026-08-14,10,8602,1166012297,8.16
0056,2026-08-14,11,2134,580280547,4.06
0056,2026-08-14,12,371,181557877,1.27
0056,2026-08-14,13,133,92097859,0.64
0056,2026-08-14,14,54,49469137,0.34
0056,2026-08-14,15,157,1427038637,9.99
0056,2026-08-14,16,0,0,0.0
0056,2026-08-14,17,1654097,14283034000,100.0
0057,2026-08-14,1,2768,158312,10.36
0057,2026-08-14,2,132,260709,17.07
0057,2026-08-14,3,8,65978,4.32
0057,2026-08-14,4,8,101100,6.62
0057,2026-08-14,5,0,0,0.0
0057,2026-08-14,6,4,103475,6.77
0057,2026-08-14,7,1,32000,2.09
0057,2026-08-14,8,1,45000,2.94
0057,2026-08-14,9,3,229426,15.02
0057,2026-08-14,10,4,531000,34.77
0057,2026-08-14,11,0,0,0.0
0057,2026-08-14,12,0,0,0.0
0057,2026-08-14,13,0,0,0.0
0057,2026-08-14,14,0,0,0.0
0057,2026-08-14,15,0,0,0.0
0057,2026-08-14,16,0,0,0.0
0057,2026-08-14,17,2929,1527000,100.0
0061,2026-08-14,1,716,189251,0.19
0061,2026-08-14,2,3337,7844419,8.16
0061,2026-08-14,3,837,6940465,7.22
0061,2026-08-14,4,294,3875509,4.03
0061,2026-08-14,5,226,4244735,4.41
0061,2026-08-14,6,212,5517511,5.74
0061,2026-08-14,7,107,3899944,4.05
0061,2026-08-14,8,82,3854401,4.01
0061,2026-08-14,9,140,10608421,11.03
0061,2026-08-14,10,58,7781000,8.09
0061,2026-08-14,11,35,9712893,10.1
0061,2026-08-14,12,10,5086000,5.29
0061,2026-08-14,13,6,4113000,4.27
0061,2026-08-14,14,0,0,0.0
0061,2026-08-14,15,6,22448451,23.35
0061,2026-08-14,16,0,0,0.0
0061,2026-08-14,17,6066,96116000,100.0
006201,2026-08-14,1,2276,271745,1.15
006201,2026-08-14,2,1875,3933301,16.77
006201,2026-08-14,3,302,2381042,10.15
006201,2026-08-14,4,101,1295005,5.52
