stock_code,stock_name,market,sector_id,is_active
3011,今皓,TWSE,95.0,1
3013,晟銘電,TWSE,262.0,1
3014,聯陽,TWSE,263.0,1
3015,全漢,TWSE,95.0,1
3016,嘉晶,TWSE,263.0,1
3017,奇鋐,TWSE,262.0,1
3018,隆銘綠能,TWSE,267.0,1
3019,亞光,TWSE,273.0,1
3021,鴻名,TWSE,95.0,1
3022,威強電,TWSE,262.0,1
3023,信邦,TWSE,95.0,1
3024,憶聲,TWSE,273.0,1
3025,星通,TWSE,269.0,1
3026,禾伸堂,TWSE,95.0,1
3027,盛達,TWSE,269.0,1
3028,增你強,TWSE,287.0,1
3029,零壹,TWSE,344.0,1
3030,德律,TWSE,267.0,1
3031,佰鴻,TWSE,273.0,1
3032,偉訓,TWSE,95.0,1
3033,威健,TWSE,287.0,1
3034,聯詠,TWSE,263.0,1
3035,智原,TWSE,263.0,1
3036,文曄,TWSE,287.0,1
3037,欣興,TWSE,95.0,1
3038,全台,TWSE,273.0,1
3040,遠見,TWSE,52.0,1
3041,揚智,TWSE,263.0,1
3042,晶技,TWSE,95.0,1
3043,科風,TWSE,267.0,1
3044,健鼎,TWSE,95.0,1
3045,台灣大,TWSE,269.0,1
3046,建��,TWSE,262.0,1
3047,訊舟,TWSE,269.0,1
3048,益登,TWSE,287.0,1
3049,精金,TWSE,273.0,1
3050,鈺德,TWSE,273.0,1
3051,力特,TWSE,273.0,1
3052,夆典,TWSE,40.0,1
3054,立萬利,TWSE,8.0,1
3055,蔚華科,TWSE,287.0,1
3056,富華新,TWSE,40.0,1
3057,喬鼎,TWSE,262.0,1
3058,立德,TWSE,95.0,1
3059,華晶科,TWSE,273.0,1
3060,銘異,TWSE,262.0,1
3062,建漢,TWSE,269.0,1
3090,日電貿,TWSE,95.0,1
3092,鴻碩,TWSE,95.0,1
3094,聯傑,TWSE,263.0,1
3130,一零四,TWSE,564.0,1
3135,凌航,TWSE,263.0,1
3138,耀登,TWSE,269.0,1
3149,正達,TWSE,273.0,1
3164,景岳,TWSE,157.0,1
3167,大量,TWSE,102.0,1
3168,眾福科,TWSE,273.0,1
3189,景碩,TWSE,263.0,1
3209,全科,TWSE,287.0,1
3229,晟鈦,TWSE,95.0,1
3231,緯創,TWSE,262.0,1
3257,虹冠電,TWSE,263.0,1
3266,昇陽,TWSE,40.0,1
3296,勝德,TWSE,95.0,1
3305,昇貿,TWSE,267.0,1
3308,聯德,TWSE,95.0,1
3311,閎暉,TWSE,269.0,1
3312,弘憶股,TWSE,287.0,1
3321,同泰,TWSE,95.0,1
3338,泰碩,TWSE,95.0,1
3346,麗清,TWSE,41.0,1
3356,奇偶,TWSE,273.0,1
3376,新日興,TWSE,95.0,1
3380,明泰,TWSE,269.0,1
3406,玉晶光,TWSE,273.0,1
3413,京鼎,TWSE,263.0,1
3416,融程電,TWSE,262.0,1
3419,譁裕,TWSE,269.0,1
3432,台端,TWSE,95.0,1
3437,榮創,TWSE,273.0,1
3443,創意,TWSE,263.0,1
3447,展達,TWSE,269.0,1
3450,聯鈞,TWSE,263.0,1
3481,群創,TWSE,273.0,1
3494,誠研,TWSE,262.0,1
3501,維熹,TWSE,95.0,1
3504,揚明光,TWSE,273.0,1
3515,華擎,TWSE,262.0,1
3518,柏騰,TWSE,267.0,1
3528,安馳,TWSE,287.0,1
3530,晶相光,TWSE,263.0,1
3532,台勝科,TWSE,263.0,1
3533,嘉澤,TWSE,95.0,1
3535,晶彩科,TWSE,273.0,1
3543,州巧,TWSE,273.0,1
3545,敦泰,TWSE,263.0,1
3550,聯穎,TWSE,95.0,1
3557,嘉威,TWSE,231.0,1
3563,牧德,TWSE,273.0,1
3576,聯合再生,TWSE,273.0,1
3583,辛耘,TWSE,263.0,1
3588,通嘉,TWSE,263.0,1
3591,艾笛森,TWSE,273.0,1
3592,瑞鼎,TWSE,263.0,1
3593,力銘,TWSE,95.0,1
3596,智易,TWSE,269.0,1
3605,宏致,TWSE,95.0,1
3607,谷崧,TWSE,95.0,1
3617,碩天,TWSE,267.0,1
3622,洋華,TWSE,273.0,1
3645,達邁,TWSE,95.0,1
3652,精聯,TWSE,262.0,1
3653,健策,TWSE,95.0,1
3661,世芯-KY,TWSE,263.0,1
3665,貿聯-KY,TWSE,267.0,1
3669,圓展,TWSE,269.0,1
3673,TPK-KY,TWSE,273.0,1
3679,新至陞,TWSE,95.0,1
3686,達能,TWSE,263.0,1
3694,海華,TWSE,269.0,1
3701,大眾控,TWSE,262.0,1
3702,大聯大,TWSE,287.0,1
3703,欣陸,TWSE,40.0,1
3704,合勤控,TWSE,269.0,1
3705,永信,TWSE,157.0,1
3706,神達,TWSE,262.0,1
3708,上緯投控,TWSE,233.0,1
3711,日月光投控,TWSE,263.0,1
3712,永崴投控,TWSE,262.0,1
3714,富采,TWSE,273.0,1
3715,定穎投控,TWSE,95.0,1
3716,中化控股,TWSE,157.0,1
3717,聯嘉投控,TWSE,41.0,1
4104,佳醫,TWSE,157.0,1
4106,雃博,TWSE,157.0,1
4108,懷特,TWSE,157.0,1
4119,旭富,TWSE,157.0,1
4133,亞諾法,TWSE,157.0,1
4137,麗豐-KY,TWSE,157.0,1
4142,國光生,TWSE,157.0,1
4148,全宇生技-KY,TWSE,157.0,1
4155,訊映,TWSE,157.0,1
4164,承業醫,TWSE,157.0,1
4169,泰宗,TWSE,157.0,1
4178,永笙-KY,TWSE,157.0,1
4190,佐登-KY,TWSE,157.0,1
4306,炎洲,TWSE,28.0,1
4414,如興,TWSE,53.0,1
4426,利勤,TWSE,53.0,1
4438,廣越,TWSE,53.0,1
4439,冠星-KY,TWSE,53.0,1
4440,宜新實業,TWSE,53.0,1
4441,振大環球,TWSE,53.0,1
4526,東台,TWSE,102.0,1
4532,瑞智,TWSE,102.0,1
4536,拓凱,TWSE,63.0,1
4540,全球傳動,TWSE,102.0,1
4545,銘鈺,TWSE,95.0,1
4551,智伸科,TWSE,41.0,1
4552,力達-KY,TWSE,102.0,1
4555,氣立,TWSE,102.0,1
4557,永新-KY,TWSE,41.0,1
4560,強信-KY,TWSE,102.0,1
4562,穎漢,TWSE,102.0,1
4564,元翎,TWSE,102.0,1
4566,時碩工業,TWSE,102.0,1
4569,六方科-KY,TWSE,41.0,1
4571,鈞興-KY,TWSE,102.0,1
4572,駐龍,TWSE,102.0,1
4576,大銀微系統,TWSE,102.0,1
4581,光隆精密-KY,TWSE,41.0,1
4583,台灣精銳,TWSE,102.0,1
4585,達明,TWSE,267.0,1
4588,玖鼎電力,TWSE,267.0,1
4720,德淵,TWSE,158.0,1
4722,國精化,TWSE,158.0,1
4736,泰博,TWSE,157.0,1
4737,華廣,TWSE,157.0,1
4739,康普,TWSE,158.0,1
4746,台耀,TWSE,157.0,1
4755,三福化,TWSE,158.0,1
4763,材料*-KY,TWSE,158.0,1
4764,雙鍵,TWSE,158.0,1
4766,南寶,TWSE,158.0,1
4770,上品,TWSE,158.0,1
4771,望隼,TWSE,157.0,1
4807,日成-KY,TWSE,492.0,1
4904,遠傳,TWSE,269.0,1
4906,正文,TWSE,269.0,1
4912,聯德控股-KY,TWSE,95.0,1
4915,致伸,TWSE,95.0,1
4916,事欣科,TWSE,262.0,1
4919,新唐,TWSE,263.0,1
4927,泰鼎-KY,TWSE,95.0,1
4930,燦星網,TWSE,142.0,1
4934,太極,TWSE,273.0,1
4935,茂林-KY,TWSE,273.0,1
4938,和碩,TWSE,262.0,1
4942,嘉彰,TWSE,273.0,1
4943,康控-KY,TWSE,95.0,1
4949,有成精密,TWSE,273.0,1
4952,凌通,TWSE,263.0,1
4956,光鋐,TWSE,273.0,1
4958,臻鼎-KY,TWSE,95.0,1
4960,誠美材,TWSE,273.0,1
4961,天鈺,TWSE,263.0,1
